date,close,high,low,open,volume
2024-04-05,2325.70,2328.40,2267.40,2289.20,344.00
2024-04-08,2331.70,2341.80,2319.00,2325.60,202.00
2024-04-09,2343.50,2364.70,2337.80,2337.80,211.00
2024-04-10,2329.60,2358.10,2327.70,2346.60,377.00
2024-04-11,2354.80,2376.30,2330.60,2341.50,283.00
2024-04-12,2356.20,2429.00,2334.30,2377.30,584.00
2024-04-15,2365.80,2384.70,2326.00,2362.10,1801.00
2024-04-16,2390.80,2390.80,2371.40,2384.00,41.00
2024-04-17,2371.70,2391.40,2369.30,2384.20,37.00
2024-04-18,2382.30,2384.40,2368.40,2368.40,128.00
2024-04-19,2398.40,2399.80,2377.30,2379.30,160.00
2024-04-22,2332.20,2383.30,2326.90,2383.30,53.00
2024-04-23,2327.70,2330.80,2294.20,2327.70,171.00
2024-04-24,2324.50,2328.70,2314.60,2321.30,95.00
2024-04-25,2329.80,2329.80,2305.00,2315.00,1024.00
2024-04-26,2334.80,2347.90,2332.80,2347.90,717.00
2024-04-29,2345.40,2345.50,2327.90,2334.80,405.00
2024-04-30,2291.40,2322.50,2291.40,2322.50,113.00
2024-05-01,2299.90,2327.30,2283.80,2287.70,42.00
2024-05-02,2299.20,2324.70,2292.30,2321.70,56.00
2024-05-03,2299.00,2301.00,2277.60,2300.00,194.00
2024-05-06,2321.60,2325.50,2314.20,2322.80,9.00
2024-05-07,2315.20,2324.30,2315.20,2324.30,25.00
2024-05-08,2313.60,2313.60,2313.60,2313.60,4.00
2024-05-09,2332.10,2339.50,2310.70,2310.70,5.00
2024-05-10,2367.30,2367.30,2367.30,2367.30,126.00
2024-05-13,2336.10,2358.30,2336.10,2358.30,14.00
2024-05-14,2353.40,2358.00,2336.00,2336.00,6.00
2024-05-15,2388.70,2388.70,2356.00,2361.60,29.00
2024-05-16,2380.00,2392.20,2380.00,2389.50,7.00
2024-05-17,2412.20,2415.80,2380.70,2380.70,213.00
2024-05-20,2433.90,2435.80,2409.70,2415.80,40.00
2024-05-21,2421.70,2429.50,2421.00,2429.50,6.00
2024-05-22,2389.20,2417.60,2375.80,2417.50,180.00
2024-05-23,2335.00,2371.20,2335.00,2371.20,365.00
2024-05-24,2332.50,2345.40,2332.50,2342.60,25.00
2024-05-28,2355.20,2359.70,2336.90,2336.90,26.00
2024-05-29,2340.30,2340.30,2340.30,2340.30,119317.00
2024-05-30,2342.90,2349.50,2320.80,2336.90,32587.00
2024-05-31,2322.90,2354.00,2319.00,2344.10,941.00
2024-06-03,2346.60,2347.50,2312.00,2322.60,781.00
2024-06-04,2325.50,2347.70,2313.90,2347.50,890.00
2024-06-05,2354.10,2354.30,2326.20,2326.40,295.00
2024-06-06,2370.30,2375.80,2355.00,2355.00,179.00
2024-06-07,2305.20,2385.10,2285.40,2379.90,269.00
2024-06-10,2307.70,2309.30,2290.50,2290.60,69.00
2024-06-11,2307.50,2314.10,2300.00,2300.00,871.00
2024-06-12,2336.00,2338.70,2310.30,2314.90,132.00
2024-06-13,2300.20,2317.70,2296.20,2309.40,298.00
2024-06-14,2331.40,2331.40,2305.80,2307.00,948.00
2024-06-17,2312.40,2320.20,2309.60,2320.20,110.00
2024-06-18,2330.40,2330.40,2311.80,2311.80,43.00
2024-06-20,2353.80,2354.00,2328.30,2328.90,183.00
